Function,File,Line,Time (s),Relative Scale (×min)
__init__,c:\Users\HP\Desktop\agentWordle\yudi.py,30,0.000031,32.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000004,4.00
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000004,3.75
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000023,24.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,2.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000010,10.75
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,160,0.000051,54.00
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,14,0.000001,1.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,6,0.000001,1.25
construct_simple_worker_procedural_memory,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\memory\procedural_memory.py,6,0.000055,58.00
reset,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,53,0.000076,79.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,20,0.000088,92.50
reset,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,74,0.000200,209.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,51,0.000218,228.25
create_agent,c:\Users\HP\Desktop\agentWordle\yudi.py,57,0.000306,320.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,2.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.25
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000011,11.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.00
_create_agent,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,10,0.000018,18.50
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,152,0.000002,1.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,2.00
__init__,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,18,0.000009,9.50
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000002,1.75
_create_agent,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\module.py,10,0.000015,16.00
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000062,65.25
run_task,c:\Users\HP\Desktop\agentWordle\yudi.py,76,0.000413,433.25
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000007,7.50
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000075,78.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000107,111.75
add_system_prompt,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,71,0.000003,3.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000375,393.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000404,424.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000365,383.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000387,406.00
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000024,25.50
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000034,35.25
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000014,14.25
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000030,31.50
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000013,13.50
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000013,13.25
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000030,31.00
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000059,62.00
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000002,2.50
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000002,2.25
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000009,9.00
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000001,1.00
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000009,9.75
type,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,412,0.000005,5.00
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000019,20.00
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000041,42.75
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000073,76.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000430,451.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000459,481.50
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000507,531.25
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000012,13.00
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000020,20.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000554,580.75
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.50
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000019,19.75
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000543,569.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000583,611.00
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000018,18.75
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000014,14.25
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000017,18.00
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000012,12.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000011,11.25
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000019,20.00
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000059,61.50
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000003,2.75
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000002,1.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000009,9.75
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000001,1.50
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000006,6.00
type,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,412,0.000005,5.75
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000027,28.00
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000031,32.25
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000042,44.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000453,475.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000483,506.25
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000516,540.75
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000017,17.75
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000563,590.25
